"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",0.0150822934297104,0.351986208769717,33,29,1,0,1,0,73,64,-9,0.997732715824954,1,0,65
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",0.0150822934297104,0.0150822934297104,22,22,1,0,1,0,74,65,-9,0.920433755749286,1,0,66
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.00946978291842922,0.101341801629482,32,25,1,0,1,0,75,66,-9,1,1,0,67
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",0.808288747360044,0.8532336682836,20,19,1,0,1,0,76,67,-9,0.999999999999991,1,0,68
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",0.997732715824954,0.974075350370635,26,19,1,0,1,0,77,68,-9,1,1,0,69
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS",0.49107566468588,0.351986208769717,18,18,1,0,1,0,78,69,-9,0.999999999999865,1,0,70
"REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM",0.00059618767048381,0.0150822934297104,27,24,0.0733310834695086,1.06522856619588,1,0,12,70,58,7.93371655046569e-05,0.0097584713570728,1.417962696362,3
"REACTOME_DISEASES_OF_METABOLISM",0.00577645522630862,0.0150822934297104,166,144,0.71050399283596,0.385270654364906,1,0,27,71,44,0.0513887607461245,1,0,71
"REACTOME_FATTY_ACID_METABOLISM",0.420283707542506,0.101341801629482,135,121,1,0,1,0,79,72,-7,0.179741341532766,1,0,72
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.136726085875245,0.179741341532766,31,29,1,0,1,0,80,73,-7,0.983130561728571,1,0,73
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES",0.0150822934297104,0.0150822934297104,21,19,1,0,1,0,81,74,-7,0.696379525408901,1,0,74
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",7.93371655046569e-05,0.00577645522630862,26,23,0.0097584713570728,1.417962696362,0.71050399283596,0.385270654364906,8,18,10,0.0233436169134307,1,0,75
"REACTOME_GLUCONEOGENESIS",6.1774102028672e-07,0.0233436169134307,27,27,7.59821454952666e-05,2.02960302707371,1,0,3,75,72,0.000313688994347936,0.0385837463047961,1.18894726823464,5
"REACTOME_GLUCOSE_METABOLISM",0.0233436169134307,0.0150822934297104,79,79,1,0,1,0,82,76,-6,0.00059618767048381,0.0733310834695086,1.06522856619588,7
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",0.179741341532766,0.696379525408901,94,88,1,0,1,0,83,77,-6,0.230392335941705,1,0,76
"REACTOME_GLYCOGEN_METABOLISM",7.93371655046569e-05,0.420283707542506,22,21,0.0097584713570728,1.417962696362,1,0,9,78,69,0.000160158462101912,0.0196994908385352,1.30596515981639,4
"REACTOME_GLYCOLYSIS",0.00577645522630862,0.230392335941705,63,63,0.71050399283596,0.385270654364906,1,0,28,79,51,0.000313688994347936,0.0385837463047961,1.18894726823464,6
