comparison,comparison_class,pathway,vanilla_adjusted_p,genept_adjusted_p,l2_adjusted_p,detection_state,l2_significant
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYCOGEN_METABOLISM,1.19188523637251e-11,1.17742273245071e-05,1.62656340577059e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYCOLYSIS,2.92785163742493e-36,2.92785163742493e-36,9.40871050159527e-28,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,4.47273498248259e-11,4.42452743464991e-06,3.03765757980741e-05,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,0.0097584713570728,0.0733310834695086,1.0,Vanilla-only significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,0.0196994908385352,0.71050399283596,1.0,Vanilla-only significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,0.0097584713570728,0.000988364856096536,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_HS_GAG_BIOSYNTHESIS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,4.42452743464991e-06,0.0733310834695086,3.03765757980741e-05,Vanilla-only significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,6.58191540678973e-22,3.07782730667905e-12,7.17128029319931e-19,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,6.82849859893372e-58,5.04737438182309e-47,6.35547796803215e-53,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_CARBOHYDRATES,2.84150512869212e-34,2.93054974647445e-35,2.65667369884701e-38,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_COFACTORS,1.51223275334187e-29,1.6490339403344e-23,1.19188523637251e-11,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,4.42452743464991e-06,1.94845273523497e-07,0.242171576205549,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_NUCLEOTIDES,2.42859083435904e-32,3.96535133534326e-21,7.07644756268212e-27,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_POLYAMINES,5.04737438182309e-47,1.19441384535048e-43,2.42859083435904e-32,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_PORPHYRINS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_STEROID_HORMONES,0.00018428004519201,0.13526035610156,1.0,Vanilla-only significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_STEROIDS,2.20391347296932e-15,2.20391347296932e-15,2.20391347296932e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,2.65667369884701e-38,7.07644756268212e-27,1.6490339403344e-23,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,2.14074921162597e-31,1.30887752681783e-19,9.99031873447338e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,4.47273498248259e-11,5.73243606521424e-10,4.42452743464991e-06,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_NICOTINATE_METABOLISM,7.70180780217355e-13,5.73243606521424e-10,0.0385837463047961,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_NUCLEOBASE_CATABOLISM,3.07782730667905e-12,1.19188523637251e-11,5.73243606521424e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_PEPTIDE_HORMONE_METABOLISM,1.86754216646101e-13,1.19188523637251e-11,4.38802120042647e-14,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_PEROXISOMAL_LIPID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_PHOSPHOLIPID_METABOLISM,4.38802120042647e-14,1.94845273523497e-07,1.19188523637251e-11,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_PI_METABOLISM,4.47273498248259e-11,1.95789725454428e-09,6.48090930369456e-09,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_PYRUVATE_METABOLISM,9.75685339973891e-17,7.17128029319931e-19,1.95792652398617e-17,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,1.05844841982567e-22,1.30887752681783e-19,9.99031873447338e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,3.07782730667905e-12,4.71093364694359e-16,1.95789725454428e-09,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,3.03765757980741e-05,0.0733310834695086,4.42452743464991e-06,Vanilla-only significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,2.42859083435904e-32,1.05844841982567e-22,6.58191540678973e-22,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SIALIC_ACID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.71050399283596,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SPHINGOLIPID_METABOLISM,0.000988364856096536,1.0,0.000988364856096536,Vanilla-only significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SULFUR_AMINO_ACID_METABOLISM,1.17742273245071e-05,5.69202046739247e-07,0.0097584713570728,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,1.86754216646101e-13,2.07917574269699e-08,1.62656340577059e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,0.0196994908385352,0.0097584713570728,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_PA,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_PC,0.000433380384227113,3.03765757980741e-05,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,4.47273498248259e-11,1.62656340577059e-10,2.07917574269699e-08,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,1.19188523637251e-11,9.99031873447338e-15,7.70180780217355e-13,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_TP53_REGULATES_METABOLIC_GENES,5.15613612835489e-26,7.70180780217355e-13,1.95792652398617e-17,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_TRIGLYCERIDE_CATABOLISM,5.15613612835489e-26,2.48901722162524e-24,1.62656340577059e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_TRIGLYCERIDE_METABOLISM,1.82804262946591e-30,1.82804262946591e-30,9.75685339973891e-17,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,HALLMARK_BILE_ACID_METABOLISM,5.73243606521424e-10,3.03765757980741e-05,4.42452743464991e-06,Both significant,True
cd4_12h_vs_24h,CD4 activation,HALLMARK_FATTY_ACID_METABOLISM,4.38802120042647e-14,4.38802120042647e-14,1.62656340577059e-10,Both significant,True
cd4_12h_vs_24h,CD4 activation,HALLMARK_GLYCOLYSIS,5.73243606521424e-10,2.07917574269699e-08,6.46502964707602e-08,Both significant,True
cd4_12h_vs_24h,CD4 activation,HALLMARK_HEME_METABOLISM,2.07917574269699e-08,5.69202046739247e-07,4.47273498248259e-11,Both significant,True
cd4_12h_vs_24h,CD4 activation,HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.75685339973891e-17,7.70180780217355e-13,3.03765757980741e-05,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1.0,1.0,0.242171576205549,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_ARACHIDONIC_ACID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_ARGININE_AND_PROLINE_METABOLISM,0.420945227971492,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_BETA_ALANINE_METABOLISM,0.0733310834695086,0.13526035610156,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_BUTANOATE_METABOLISM,0.00468956079017448,0.00468956079017448,0.242171576205549,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.00468956079017448,0.00018428004519201,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.0733310834695086,0.000988364856096536,1.0,GenePT-only significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.0196994908385352,0.000988364856096536,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_ETHER_LIPID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_FATTY_ACID_METABOLISM,0.0097584713570728,0.0385837463047961,0.000433380384227113,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.17742273245071e-05,6.46502964707602e-08,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GALACTOSE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLUTATHIONE_METABOLISM,1.62656340577059e-10,4.42452743464991e-06,1.17742273245071e-05,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCEROLIPID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0196994908385352,0.0097584713570728,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,5.73243606521424e-10,0.000988364856096536,4.42452743464991e-06,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_HISTIDINE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_INOSITOL_PHOSPHATE_METABOLISM,4.42452743464991e-06,0.00018428004519201,0.000988364856096536,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.0385837463047961,0.00468956079017448,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_NITROGEN_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_OXIDATIVE_PHOSPHORYLATION,1.95792652398617e-17,4.42452743464991e-06,0.0021860417311304,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.00468956079017448,0.00468956079017448,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,7.59821454952666e-05,0.00018428004519201,1.0,Both significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_PROPANOATE_METABOLISM,0.000433380384227113,4.42452743464991e-06,0.000433380384227113,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_PURINE_METABOLISM,6.46502964707602e-08,0.00018428004519201,0.00018428004519201,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_PYRIMIDINE_METABOLISM,5.69202046739247e-07,0.13526035610156,1.17742273245071e-05,Vanilla-only significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_PYRUVATE_METABOLISM,0.00018428004519201,7.59821454952666e-05,0.000988364856096536,Both significant,True
cd4_12h_vs_24h,CD4 activation,KEGG_RETINOL_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_SELENOAMINO_ACID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_SPHINGOLIPID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_12h_vs_24h,CD4 activation,KEGG_STARCH_AND_SUCROSE_METABOLISM,1.0,1.0,1.0,Neither significant,False
