lineage,pathway,method,significant_0h_vs_12h,significant_12h_vs_24h,significant_0h_vs_24h,descriptive_timing_pattern
CD4,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,l2,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_NITROGEN_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_NITROGEN_METABOLISM,genept,True,False,True,early
CD4,KEGG_NITROGEN_METABOLISM,l2,False,False,False,none
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,vanilla,True,True,True,persistent
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,genept,True,True,True,persistent
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,l2,True,True,True,persistent
CD4,KEGG_PENTOSE_PHOSPHATE_PATHWAY,vanilla,True,True,True,persistent
CD4,KEGG_PENTOSE_PHOSPHATE_PATHWAY,genept,False,True,True,late
CD4,KEGG_PENTOSE_PHOSPHATE_PATHWAY,l2,False,False,True,endpoint_only
CD4,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,genept,False,True,True,late
CD4,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_PROPANOATE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_PROPANOATE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_PROPANOATE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_PURINE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_PURINE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_PURINE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_PYRIMIDINE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_PYRIMIDINE_METABOLISM,genept,True,False,True,early
CD4,KEGG_PYRIMIDINE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_PYRUVATE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_PYRUVATE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_PYRUVATE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_RETINOL_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_RETINOL_METABOLISM,genept,False,False,False,none
CD4,KEGG_RETINOL_METABOLISM,l2,False,False,False,none
CD4,KEGG_SELENOAMINO_ACID_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_SELENOAMINO_ACID_METABOLISM,genept,True,False,True,early
CD4,KEGG_SELENOAMINO_ACID_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_SPHINGOLIPID_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_SPHINGOLIPID_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_SPHINGOLIPID_METABOLISM,l2,False,False,False,none
CD4,KEGG_STARCH_AND_SUCROSE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_STARCH_AND_SUCROSE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_STARCH_AND_SUCROSE_METABOLISM,l2,False,False,False,none
CD4,KEGG_TRYPTOPHAN_METABOLISM,vanilla,False,True,True,late
CD4,KEGG_TRYPTOPHAN_METABOLISM,genept,False,True,True,late
CD4,KEGG_TRYPTOPHAN_METABOLISM,l2,False,False,False,none
CD4,KEGG_TYROSINE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_TYROSINE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_TYROSINE_METABOLISM,l2,False,False,True,endpoint_only
CD4,REACTOME_ARACHIDONIC_ACID_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_ARACHIDONIC_ACID_METABOLISM,genept,True,False,True,early
CD4,REACTOME_ARACHIDONIC_ACID_METABOLISM,l2,True,False,True,early
CD4,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,genept,False,False,False,none
CD4,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,l2,False,False,False,none
CD4,REACTOME_BIOLOGICAL_OXIDATIONS,vanilla,True,True,True,persistent
CD4,REACTOME_BIOLOGICAL_OXIDATIONS,genept,True,True,True,persistent
