"Pathway","Pval","adjPval","qval","FC"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.230392335941705,1,0,-0.104515584706491
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",0.890501459250417,1,0,-0.429264150073562
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",0.999809962501969,1,0,0.106819628853109
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS",0.351986208769717,1,0,-0.467435999726407
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",0.230392335941705,1,0,-0.560569792769018
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES",0.49107566468588,1,0,-0.0537780927729372
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",0.94372001658599,1,0,-0.367582495340126
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",0.420283707542506,1,0,-0.650817894902061
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",0.999809962501969,1,0,-0.0290373852021265
"REACTOME_HS_GAG_BIOSYNTHESIS",1,1,0,-0.0287695912129445
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",0.0351222601892017,1,0,0.538906907912428
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",0.99999999997846,1,0,0.0405004679475973
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",0.999978425151953,1,0,0.00404745154607966
"REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",0.996087934623775,1,0,-0.343261818014684
"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS",0.983130561728571,1,0,0.0737335187164366
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",0.230392335941705,1,0,-0.779840920408714
"REACTOME_METABOLISM_OF_PORPHYRINS",0.631270397757246,1,0,-0.68109377410631
"REACTOME_METABOLISM_OF_STEROID_HORMONES",0.136726085875245,1,0,-0.528645853345986
"REACTOME_NICOTINATE_METABOLISM",0.101341801629482,1,0,-0.596181013041251
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",0.49107566468588,1,0,-0.597196905738462
"REACTOME_SIALIC_ACID_METABOLISM",0.8532336682836,1,0,-0.0487546564551165
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.0233436169134307,1,0,0.0523131542343647
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",0.920433755749286,1,0,-0.121566374234314
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",0.997732715824954,1,0,-0.197672190890221
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI",0.631270397757246,1,0,-0.252559979455091
"REACTOME_SYNTHESIS_OF_PA",0.94372001658599,1,0,-0.10543747743265
"REACTOME_SYNTHESIS_OF_PC",0.0731481276708723,1,0,-0.496178122454479
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.999978425151953,1,0,0.153224353390918
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",0.49107566468588,1,0,-0.122586487855947
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.230392335941705,1,0,0.406835307929411
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.94372001658599,1,0,-0.180070017014619
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",0.999954068787905,1,0,-0.193890573209857
