"Pathway","Pval","adjPval","qval"
"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS",6.71923827513126e-09,8.33185546116276e-07,2.46561519152632
"KEGG_ETHER_LIPID_METABOLISM",1.64297969593841e-08,2.03729482296363e-06,2.38557039686782
"KEGG_FATTY_ACID_METABOLISM",2.54675303103149e-08,3.15797375847905e-06,2.34533398114836
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",2.54675303103149e-08,3.15797375847905e-06,2.34533398114836
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",3.9247273019936e-08,4.86666185447206e-06,2.30494443064663
"KEGG_GALACTOSE_METABOLISM",6.01314909631562e-08,7.45630487943137e-06,2.26439315104656
"KEGG_SPHINGOLIPID_METABOLISM",6.01314909631562e-08,7.45630487943137e-06,2.26439315104656
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",6.01314909631562e-08,7.45630487943137e-06,2.26439315104656
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",9.15938185342438e-08,1.13576334982462e-05,2.22367087262531
"REACTOME_SPHINGOLIPID_METABOLISM",9.15938185342438e-08,1.13576334982462e-05,2.22367087262531
"REACTOME_HS_GAG_BIOSYNTHESIS",1.38708797756067e-07,1.71998909217523e-05,2.1827675797693
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",2.08841840870683e-07,2.58963882679647e-05,2.1416724310973
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",4.65243091886071e-07,5.76901433938728e-05,2.05885851421699
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",4.65243091886071e-07,5.76901433938728e-05,2.05885851421699
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",1.01267726622613e-06,0.00012557198101204,1.97512208592375
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",2.15382233761794e-06,0.000267073969864625,1.89033553583885
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS",3.1139813071559e-06,0.000386133682087332,1.84750164103143
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",1.80436917326436e-05,0.00223741777484781,1.62795974030395
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",2.52025432112328e-05,0.00312511535819287,1.58276149397162
"REACTOME_SYNTHESIS_OF_PA",3.50007003596414e-05,0.00434008684459553,1.53704312894018
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",9.05921873460732e-05,0.0112334312309131,1.39624051259945
"KEGG_RETINOL_METABOLISM",0.000165985503226255,0.0205822024000556,1.2986562883899
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",0.000165985503226255,0.0205822024000556,1.2986562883899
"REACTOME_METABOLISM_OF_PORPHYRINS",0.000165985503226255,0.0205822024000556,1.2986562883899
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",0.000891371945026152,0.110530121183243,0.97801807438539
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.0019149315726649,0.237451515010448,0.790205704324323
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",0.00244352729645601,0.302997384760545,0.72011188017983
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.00310081146601186,0.384500621785471,0.644284838835765
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",0.00761029581939725,0.943676681605259,0.158671914029435
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.0248620834965079,1,0
"KEGG_HISTIDINE_METABOLISM",0.0418195891612069,1,0
"KEGG_NITROGEN_METABOLISM",0.0297237267624301,1,0
"REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",0.234847843938533,1,0
