dataset_index,dataset_gene,match_type,embedding_key
9298,SUFU,exact,SUFU
9299,TRIM8,exact,TRIM8
9300,AL391121.1,unmatched,
9301,ARL3,exact,ARL3
9302,SFXN2,exact,SFXN2
9303,WBP1L,exact,WBP1L
9304,CYP17A1,exact,CYP17A1
9305,CYP17A1-AS1,unmatched,
9306,AL358790.1,unmatched,
9307,BORCS7,exact,BORCS7
9308,AL356608.1,unmatched,
9309,CNNM2,exact,CNNM2
9310,NT5C2,exact,NT5C2
9311,PCGF6,exact,PCGF6
9312,TAF5,exact,TAF5
9313,ATP5MD,official_alias,ATP5MD
9314,PDCD11,exact,PDCD11
9315,CALHM2,exact,CALHM2
9316,AL139339.2,unmatched,
9317,NEURL1,exact,NEURL1
9318,SH3PXD2A,exact,SH3PXD2A
9319,AL121929.2,unmatched,
9320,STN1,exact,STN1
9321,SLK,exact,SLK
9322,COL17A1,exact,COL17A1
9323,SFR1,exact,SFR1
9324,GSTO1,exact,GSTO1
9325,GSTO2,exact,GSTO2
9326,ITPRIP,exact,ITPRIP
9327,SORCS3,exact,SORCS3
9328,XPNPEP1,exact,XPNPEP1
9329,ADD3,exact,ADD3
9330,MXI1,exact,MXI1
9331,SMNDC1,exact,SMNDC1
9332,DUSP5,exact,DUSP5
9333,SMC3,exact,SMC3
9334,RBM20,exact,RBM20
9335,PDCD4-AS1,unmatched,
9336,PDCD4,exact,PDCD4
9337,BBIP1,exact,BBIP1
9338,AL158163.2,unmatched,
9339,AL158163.1,unmatched,
9340,SHOC2,exact,SHOC2
9341,GPAM,exact,GPAM
9342,ACSL5,exact,ACSL5
9343,AL157786.1,unmatched,
9344,ZDHHC6,exact,ZDHHC6
9345,VTI1A,exact,VTI1A
9346,TCF7L2,exact,TCF7L2
9347,AL158212.2,unmatched,
9348,CASP7,exact,CASP7
9349,DCLRE1A,exact,DCLRE1A
9350,NHLRC2,exact,NHLRC2
9351,CCDC186,exact,CCDC186
9352,TDRD1,exact,TDRD1
9353,AFAP1L2,exact,AFAP1L2
9354,ABLIM1,exact,ABLIM1
9355,FAM160B1,unmatched,
9356,TRUB1,exact,TRUB1
9357,HSPA12A,exact,HSPA12A
9358,SHTN1,exact,SHTN1
9359,PDZD8,exact,PDZD8
9360,EMX2OS,exact,EMX2OS
9361,RAB11FIP2,exact,RAB11FIP2
9362,CASC2,exact,CASC2
9363,FAM204A,exact,FAM204A
9364,PRLHR,exact,PRLHR
9365,CACUL1,exact,CACUL1
9366,NANOS1,exact,NANOS1
9367,EIF3A,exact,EIF3A
9368,FAM45A,unmatched,
9369,SFXN4,exact,SFXN4
9370,PRDX3,exact,PRDX3
9371,GRK5,exact,GRK5
9372,AL583824.1,unmatched,
9373,RGS10,exact,RGS10
9374,TIAL1,exact,TIAL1
9375,BAG3,exact,BAG3
9376,INPP5F,exact,INPP5F
9377,MCMBP,exact,MCMBP
9378,SEC23IP,exact,SEC23IP
9379,WDR11-AS1,unmatched,
9380,WDR11,exact,WDR11
9381,AC010998.2,unmatched,
9382,FGFR2,exact,FGFR2
9383,ATE1,exact,ATE1
9384,NSMCE4A,exact,NSMCE4A
9385,AL731566.1,unmatched,
9386,TACC2,exact,TACC2
9387,PLEKHA1,exact,PLEKHA1
9388,CUZD1,exact,CUZD1
9389,FAM24B,exact,FAM24B
9390,C10orf88,exact,C10orf88
9391,PSTK,exact,PSTK
9392,IKZF5,exact,IKZF5
9393,ACADSB,exact,ACADSB
9394,BUB3,exact,BUB3
9395,CHST15,exact,CHST15
9396,OAT,exact,OAT
9397,LHPP,exact,LHPP
9398,AC068896.1,unmatched,
9399,FAM53B,exact,FAM53B
9400,AL513190.1,unmatched,
9401,EEF1AKMT2,exact,EEF1AKMT2
9402,ABRAXAS2,exact,ABRAXAS2
9403,ZRANB1,exact,ZRANB1
9404,AL731577.1,unmatched,
9405,CTBP2,exact,CTBP2
9406,AL731571.1,unmatched,
9407,AL158835.1,unmatched,
9408,EDRF1,exact,EDRF1
9409,EDRF1-AS1,exact,EDRF1-AS1
9410,UROS,exact,UROS
9411,BCCIP,exact,BCCIP
9412,DHX32,exact,DHX32
9413,FANK1,exact,FANK1
9414,ADAM12,exact,ADAM12
9415,PTPRE,exact,PTPRE
9416,MKI67,exact,MKI67
9417,AL390763.1,unmatched,
9418,MGMT,exact,MGMT
9419,AL157832.1,unmatched,
9420,AL157832.3,unmatched,
9421,C10orf143,exact,C10orf143
9422,GLRX3,exact,GLRX3
9423,TCERG1L,exact,TCERG1L
9424,PPP2R2D,exact,PPP2R2D
9425,BNIP3,exact,BNIP3
9426,AL162274.2,unmatched,
9427,AL162274.1,unmatched,
9428,JAKMIP3,exact,JAKMIP3
9429,AL512622.1,unmatched,
9430,DPYSL4,exact,DPYSL4
9431,STK32C,exact,STK32C
9432,LRRC27,exact,LRRC27
9433,PWWP2B,exact,PWWP2B
9434,AL451069.2,unmatched,
9435,C10orf91,unmatched,
9436,INPP5A,exact,INPP5A
9437,ADAM8,exact,ADAM8
9438,TUBGCP2,exact,TUBGCP2
9439,AL360181.2,unmatched,
9440,ZNF511,exact,ZNF511
9441,CALY,exact,CALY
9442,FUOM,exact,FUOM
9443,ECHS1,exact,ECHS1
9444,PAOX,exact,PAOX
9445,MTG1,exact,MTG1
9446,SPRN,exact,SPRN
9447,SCART1,exact,SCART1
9448,SYCE1,exact,SYCE1
9449,IQSEC3,exact,IQSEC3
9450,KDM5A,exact,KDM5A
9451,CCDC77,exact,CCDC77
9452,B4GALNT3,exact,B4GALNT3
9453,NINJ2,exact,NINJ2
9454,AC021054.1,unmatched,
9455,WNK1,exact,WNK1
9456,RAD52,exact,RAD52
9457,AC004803.1,unmatched,
9458,ERC1,exact,ERC1
9459,WNT5B,exact,WNT5B
9460,FBXL14,exact,FBXL14
9461,ADIPOR2,exact,ADIPOR2
9462,CACNA2D4,exact,CACNA2D4
9463,DCP1B,exact,DCP1B
9464,CACNA1C,exact,CACNA1C
9465,AC005342.1,unmatched,
9466,CACNA1C-AS2,exact,CACNA1C-AS2
9467,CACNA1C-AS1,exact,CACNA1C-AS1
9468,FKBP4,exact,FKBP4
9469,ITFG2-AS1,unmatched,
9470,ITFG2,exact,ITFG2
9471,NRIP2,exact,NRIP2
9472,FOXM1,exact,FOXM1
9473,RHNO1,exact,RHNO1
9474,TULP3,exact,TULP3
9475,TSPAN9,exact,TSPAN9
9476,CRACR2A,exact,CRACR2A
9477,PARP11,exact,PARP11
9478,AC005842.1,unmatched,
9479,CCND2,exact,CCND2
9480,TIGAR,exact,TIGAR
9481,C12orf4,exact,C12orf4
9482,RAD51AP1,exact,RAD51AP1
9483,DYRK4,exact,DYRK4
9484,AKAP3,exact,AKAP3
9485,NDUFA9,exact,NDUFA9
9486,AC006206.2,unmatched,
9487,AC006206.1,unmatched,
9488,CD9,exact,CD9
9489,PLEKHG6,exact,PLEKHG6
9490,TNFRSF1A,exact,TNFRSF1A
9491,SCNN1A,exact,SCNN1A
9492,LTBR,exact,LTBR
9493,CD27,exact,CD27
9494,TAPBPL,exact,TAPBPL
9495,VAMP1,exact,VAMP1
9496,AC005840.4,unmatched,
9497,MRPL51,exact,MRPL51
9498,NCAPD2,exact,NCAPD2
9499,GAPDH,exact,GAPDH
9500,AC006064.4,unmatched,
9501,IFFO1,exact,IFFO1
9502,AC006064.1,unmatched,
9503,NOP2,exact,NOP2
9504,CHD4,exact,CHD4
9505,AC006064.2,unmatched,
9506,LPAR5,exact,LPAR5
9507,ACRBP,exact,ACRBP
9508,ING4,exact,ING4
9509,ZNF384,exact,ZNF384
9510,PIANP,exact,PIANP
9511,COPS7A,exact,COPS7A
9512,MLF2,exact,MLF2
9513,PTMS,exact,PTMS
9514,LAG3,exact,LAG3
9515,CD4,exact,CD4
9516,P3H3,exact,P3H3
9517,GNB3,exact,GNB3
9518,CDCA3,exact,CDCA3
9519,USP5,exact,USP5
9520,TPI1,exact,TPI1
9521,SPSB2,exact,SPSB2
9522,LRRC23,exact,LRRC23
9523,ENO2,exact,ENO2
9524,ATN1,exact,ATN1
9525,C12orf57,exact,C12orf57
9526,U47924.2,unmatched,
9527,PTPN6,exact,PTPN6
9528,PHB2,exact,PHB2
9529,EMG1,exact,EMG1
9530,EMG1.1,unmatched,
9531,LPCAT3,exact,LPCAT3
9532,C1S,exact,C1S
9533,C1R,exact,C1R
9534,C1RL,exact,C1RL
9535,C1RL-AS1,exact,C1RL-AS1
9536,RBP5,exact,RBP5
9537,CLSTN3,exact,CLSTN3
9538,PEX5,exact,PEX5
9539,NANOG,exact,NANOG
9540,SLC2A14,exact,SLC2A14
9541,SLC2A3,exact,SLC2A3
9542,FOXJ2,exact,FOXJ2
9543,C3AR1,exact,C3AR1
9544,NECAP1,exact,NECAP1
9545,CLEC4A,exact,CLEC4A
9546,FAM66C,exact,FAM66C
9547,AC092111.2,unmatched,
9548,AC092111.1,unmatched,
9549,LINC02449,exact,LINC02449
9550,LINC00937,exact,LINC00937
9551,AICDA,exact,AICDA
9552,MFAP5,exact,MFAP5
9553,RIMKLB,exact,RIMKLB
9554,PHC1,exact,PHC1
9555,M6PR,exact,M6PR
9556,KLRG1,exact,KLRG1
9557,A2M-AS1,exact,A2M-AS1
9558,A2M,exact,A2M
9559,PZP,exact,PZP
9560,LINC00987,exact,LINC00987
9561,AC010175.1,unmatched,
9562,KLRB1,exact,KLRB1
9563,CLEC2D,exact,CLEC2D
9564,CD69,exact,CD69
9565,KLRF1,exact,KLRF1
9566,CLEC2B,exact,CLEC2B
9567,AC091814.1,unmatched,
9568,GABARAPL1,exact,GABARAPL1
9569,KLRD1,exact,KLRD1
9570,AC022075.1,unmatched,
