comparison,pathway,detection_state,gene,vanilla_delta_score,genept_delta_score,vanilla_supporting_rank,genept_supporting_rank,vanilla_absolute_rank,genept_absolute_rank,vanilla_absolute_percentile,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,MCCC1,-2.32092608327231,0.240102422075751,18.5,9.0,4.5,16.0,0.825,0.25,-0.575
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,MCCC2,-0.29194939201165,-1.08966816710008,13.0,18.0,12.0,6.0,0.45,0.75,0.3
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,PPM1K,0.797718775088431,-0.518835066685553,2.0,16.5,8.0,8.5,0.65,0.625,-0.025000000000000022
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,SLC25A44,0.278883708402879,0.240102422075751,5.0,9.0,15.0,16.0,0.3,0.25,-0.04999999999999999
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,CTSA,1.26516212952784,0.0,3.0,10.5,5.0,17.5,0.7647058823529411,0.029411764705882353,-0.7352941176470588
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,DHDDS,-1.59148709883162,0.0,17.5,10.5,1.5,17.5,0.9705882352941176,0.029411764705882353,-0.9411764705882353
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,DOLK,0.544766133105719,-1.19415593182466,6.5,18.0,13.5,2.0,0.2647058823529412,0.9411764705882353,0.6764705882352942
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,DPM1,1.47984074160387,0.518835066685553,1.5,5.5,3.5,10.5,0.8529411764705882,0.4411764705882353,-0.4117647058823529
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,DPM2,1.03782119716418,-0.875906310034476,4.0,16.5,7.0,3.5,0.6470588235294118,0.8529411764705882,0.2058823529411764
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,DPM3,0.278883708402879,0.758937488761304,8.5,3.0,15.5,6.0,0.14705882352941177,0.7058823529411765,0.5588235294117647
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GALE,0.0,-0.278883708402879,10.5,12.5,17.5,12.5,0.029411764705882353,0.3235294117647059,0.29411764705882354
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GALK1,-0.915272223421779,0.26588242470284,14.0,8.0,9.0,15.0,0.5294117647058824,0.17647058823529413,-0.3529411764705882
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GALT,-0.915272223421779,-0.570833100414529,14.0,14.5,9.0,8.5,0.5294117647058824,0.5588235294117647,0.02941176470588236
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GFPT1,-1.59148709883162,0.758937488761304,17.5,3.0,1.5,6.0,0.9705882352941176,0.7058823529411765,-0.2647058823529411
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GLB1,-0.597022601631597,0.26588242470284,12.0,8.0,12.0,15.0,0.35294117647058826,0.17647058823529413,-0.17647058823529413
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,GNE,0.278883708402879,0.518835066685553,8.5,5.5,15.5,10.5,0.14705882352941177,0.4411764705882353,0.2941176470588235
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,MPI,-0.915272223421779,-0.875906310034476,14.0,16.5,9.0,3.5,0.5294117647058824,0.8529411764705882,0.32352941176470584
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,NEU1,0.797718775088431,0.26588242470284,5.0,8.0,11.0,15.0,0.4117647058823529,0.17647058823529413,-0.2352941176470588
