dataset_index,dataset_gene,match_type,embedding_key
7087,CORO2A,exact,CORO2A
7088,TBC1D2,exact,TBC1D2
7089,ANKS6,exact,ANKS6
7090,GALNT12,exact,GALNT12
7091,TGFBR1,exact,TGFBR1
7092,ALG2,exact,ALG2
7093,SEC61B,exact,SEC61B
7094,STX17-AS1,unmatched,
7095,STX17,exact,STX17
7096,ERP44,exact,ERP44
7097,INVS,exact,INVS
7098,TEX10,exact,TEX10
7099,MSANTD3,exact,MSANTD3
7100,CAVIN4,exact,CAVIN4
7101,MRPL50,exact,MRPL50
7102,ZNF189,exact,ZNF189
7103,RNF20,exact,RNF20
7104,GRIN3A,exact,GRIN3A
7105,SMC2-AS1,official_alias,SMC2-AS1
7106,SMC2,exact,SMC2
7107,NIPSNAP3A,exact,NIPSNAP3A
7108,NIPSNAP3B,exact,NIPSNAP3B
7109,SLC44A1,exact,SLC44A1
7110,FSD1L,exact,FSD1L
7111,FKTN,exact,FKTN
7112,TMEM38B,exact,TMEM38B
7113,RAD23B,exact,RAD23B
7114,ELP1,exact,ELP1
7115,FAM206A,official_alias,FAM206A
