target_index,comparison,pathway,detection_state,control,true_raw_p,true_score,control_median_score,true_minus_control_median_score,true_percentile_among_control,fraction_control_ge_true,fraction_control_significant,empirical_upper_p,empirical_lower_p,empirical_upper_p_bh30,empirical_lower_p_bh30
18,cd4_12h_vs_24h,REACTOME_SULFUR_AMINO_ACID_METABOLISM,GenePT-only significant,random,7.93371655046569e-05,4.1005233197136,2.70578194299357,1.3947413767200305,1.0,0.0,0.12,0.009900990099009901,1.0,0.07425742574257425,1.0
19,cd4_12h_vs_24h,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,GenePT-only significant,permuted,7.93371655046569e-05,4.1005233197136,2.02365997647813,2.0768633432354706,0.9405940594059405,0.07,0.15,0.07920792079207921,0.9405940594059405,0.6683168316831682,0.9504950495049503
19,cd4_12h_vs_24h,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,GenePT-only significant,random,7.93371655046569e-05,4.1005233197136,3.36405886388056,0.7364644558330404,0.9108910891089109,0.18,0.5,0.18811881188118812,0.9108910891089109,1.0,1.0
20,cd4_12h_vs_24h,REACTOME_TRIGLYCERIDE_METABOLISM,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,3.22461700967912,-0.26588242470283596,0.46534653465346537,0.54,0.36,0.5445544554455446,0.46534653465346537,0.99009900990099,0.8725247524752475
20,cd4_12h_vs_24h,REACTOME_TRIGLYCERIDE_METABOLISM,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,4.1005233197136,-1.1417887347373163,0.0297029702970297,0.98,0.95,0.9801980198019802,0.0297029702970297,1.0,0.0495049504950495
21,cd4_0h_vs_24h,KEGG_ETHER_LIPID_METABOLISM,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,4.41877294150378,-1.194155931824656,0.07920792079207921,0.93,0.93,0.9306930693069307,0.07920792079207921,0.99009900990099,0.4752475247524752
21,cd4_0h_vs_24h,KEGG_ETHER_LIPID_METABOLISM,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,5.82442680135432,-2.599809791675195,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
22,cd4_0h_vs_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,2.95873458497628,3.9968028886505635e-15,0.7227722772277227,0.28,0.16,0.2871287128712871,0.7227722772277227,0.8910891089108911,0.9482102056359482
22,cd4_0h_vs_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,3.503500718082,-0.5447661331057159,0.009900990099009901,1.0,0.92,1.0,0.009900990099009901,1.0,0.018564356435643563
23,cd4_0h_vs_24h,KEGG_RETINOL_METABOLISM,Vanilla-only significant,permuted,0.0233436169134307,1.6318318524960433,2.02365997647813,-0.39182812398208644,0.25742574257425743,0.75,0.01,0.7524752475247525,0.25742574257425743,0.99009900990099,0.702070207020702
23,cd4_0h_vs_24h,KEGG_RETINOL_METABOLISM,Vanilla-only significant,random,0.0233436169134307,1.6318318524960433,3.503500718082,-1.8716688655859566,0.009900990099009901,1.0,0.65,1.0,0.009900990099009901,1.0,0.018564356435643563
24,cd4_0h_vs_24h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,2.95873458497628,3.9968028886505635e-15,0.6237623762376238,0.38,0.29,0.38613861386138615,0.6237623762376238,0.8910891089108911,0.9482102056359482
24,cd4_0h_vs_24h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,4.584509802324705,-1.625775217348421,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
25,cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,permuted,0.00577645522630862,2.238338588554161,3.79545011009365,-1.5571115215394888,0.12871287128712872,0.88,0.63,0.8811881188118812,0.12871287128712872,0.99009900990099,0.4752475247524752
