target_index,comparison,pathway,detection_state,control,replicate_id,seed,n_paired_genes,gene,gene_index,control_raw_p_full,control_adjusted_p_full,control_qval_full,control_score_full,control_raw_p_masked,control_adjusted_p_masked,control_qval_masked,control_score_masked,control_delta_score,control_significant_full,control_significant_masked,control_detection_flip,mapping_changed_fraction,norm_max_difference,vanilla_delta_score,true_genept_delta_score,true_genept_detection_flip
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA13,3.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,-0.954796553051974,True,True,False,0.941176470588235,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA2,4.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,0.941176470588235,0.0,0.518835066685553,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA5A,5.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,0.941176470588235,0.0,0.0,1.19415593182466,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA5B,6.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.00946978291842922,1.0,0.0,2.02365997647813,1.77179013361552,True,False,True,0.941176470588235,0.0,1.20095703320099,2.18043435294962,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA6,7.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,0.941176470588235,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA7,8.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,0.941176470588235,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CA9,9.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,0.941176470588235,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CPS1,10.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,0.941176470588235,0.0,-0.278883708402879,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,CTH,11.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,-0.954796553051974,True,True,False,0.941176470588235,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,GLS,12.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.989331698428969,1.0,0.0,0.00465807579851923,3.79079203429513,True,False,True,0.941176470588235,0.0,3.22406259032914,4.41591679719862,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,GLS2,13.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0010996776918826,0.13526035610156,0.932110226066041,2.95873458497628,0.836715525117369,True,False,True,0.941176470588235,0.0,0.758937488761304,0.915272223421779,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,GLUD1,14.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0034223189265975,0.420945227971492,0.613004412282997,2.46567952091782,1.32977058917583,True,False,True,0.941176470588235,0.0,0.0,1.95309342058596,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,GLUD2,15.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,0.941176470588235,0.0,0.26588242470284,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,GLUL,16.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,0.941176470588235,0.0,-0.570833100414529,0.318249621790182,False
