target_index,comparison,group_a,group_b,pathway,detection_state,n_paired_genes,control,replicate_id,seed,mapping_changed_fraction,vector_multiset_preserved,norm_max_difference,raw_p,adjusted_p,qval,score,significant
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,32.0,20261844.0,1.0,True,0.0,8.03548663493119e-06,0.000988364856096536,1.73351743731473,5.09498781691362,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,33.0,20261845.0,1.0,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,34.0,20261846.0,1.0,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,35.0,20261847.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,36.0,20261848.0,0.941176470588235,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,37.0,20261849.0,0.941176470588235,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,38.0,20261850.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,39.0,20261851.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,40.0,20261852.0,0.941176470588235,True,0.0,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,41.0,20261853.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
