row_type,scheme,population,status,pathway,draw_id,method,n_pathways,n_units,resamples,gene_count,truth_count,pool_size,eligible_pool_size,mean_ap,median_ap,sd_ap,exact_random_ap,mean_ap_minus_exact_chance,mean_genept_minus_vanilla_ap,mean_contrast_ap,median_contrast_ap,wilcoxon_p_value,rank_biserial,reason
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,genept_scpa,,1,1000,27,5,8,8,0.3095682348152936,0.35751322751322745,0.10901941475730817,0.27580063899080604,0.03376759582448757,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,vanilla_scpa,,1,1000,27,5,27,8,0.2744385547217199,0.24,0.11351198152536138,0.27580063899080604,-0.001362084269086128,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,genept_scpa,,1,1000,27,5,27,8,0.2738822103285182,0.24214077589077587,0.11447379799918257,0.27580063899080604,-0.0019184286622878077,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,vanilla_scpa,,1,1000,27,5,8,8,0.5432279670329669,0.535952380952381,0.1529227289852724,0.27580063899080604,0.2674273280421609,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,genept_scpa,,1,1000,27,5,8,8,0.3103870777370777,0.3589377289377289,0.11017470708194677,0.27580063899080604,0.03458643874627165,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,vanilla_scpa,,1,1000,27,5,8,8,0.5456268681318681,0.535952380952381,0.1544912576710967,0.27580063899080604,0.2698262291410621,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,genept_scpa,,1,1000,27,5,8,8,0.3133647760300702,0.35751322751322745,0.10651988683220151,0.27580063899080604,0.037564137039264145,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,vanilla_scpa,,1,1000,27,5,27,8,0.2779565203979924,0.24311299811299808,0.11973355575547712,0.27580063899080604,0.0021558814071863663,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,genept_scpa,,1,1000,27,5,27,8,0.2770806231861969,0.24193362193362195,0.11750357216173159,0.27580063899080604,0.001279984195390882,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,vanilla_scpa,,1,1000,27,5,8,8,0.5451132783882785,0.535952380952381,0.15959295280056016,0.27580063899080604,0.26931263939747246,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,16,genept_scpa,,1,1000,27,5,8,8,0.30441099296128704,0.3549491249491249,0.10817064721502694,0.27580063899080604,0.028610353970481006,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,17,vanilla_scpa,,1,1000,27,5,8,8,0.5422439194139195,0.535952380952381,0.14722125340917458,0.27580063899080604,0.26644328042311344,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,17,genept_scpa,,1,1000,27,5,8,8,0.31091078323637145,0.3582254782254782,0.11010454536587853,0.27580063899080604,0.03511014424556541,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,17,vanilla_scpa,,1,1000,27,5,27,8,0.2757450777036562,0.24280867280867277,0.11663020292717567,0.27580063899080604,-5.556128714984121e-05,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,17,genept_scpa,,1,1000,27,5,27,8,0.2741180710412962,0.24267401036966252,0.1113738957597456,0.27580063899080604,-0.0016825679495098278,,,,,,
